18	DROGUERIAS PROMOPRECIOS PARQUE DE SAN ANTONIO	Medellin - Zona 2	https://maps.app.goo.gl/LEZDKWHTciMB5FR76
28	FARMACIA PASTEUR ESTACION METRO	Medellin - Zona 2	https://maps.app.goo.gl/UKn6XrMpwtEbKAaH8
43	FARMACIA PASTEUR FERROCARRIL	Medellin - Zona 2	https://maps.app.goo.gl/z6XTuCrwWHV63qnj6
172	FARMACIA PASTEUR SAN JERONIMO	OCCIDENTE ANTIOQUIA - ZONA 1	https://maps.app.goo.gl/UDHQ4Xegd1Bwii4n6
373	DROGUERIA PASTEUR MALL MADEOCCIDENTE	OCCIDENTE ANTIOQUIA - ZONA 1	https://maps.app.goo.gl/agqxX8WBhK3kyq127
169	DROGUERIA PASTEUR SANTAFE DE ANTIOQUIA	OCCIDENTE ANTIOQUIA - ZONA 1	https://maps.app.goo.gl/QCQNBqFgh1nJJNHUA
273	LA GARANTIA DROGUERIA SANTAFE DE ANTIOQUA	OCCIDENTE ANTIOQUIA - ZONA 1	https://maps.app.goo.gl/niYy39iXjnmsZYqdA
363	DROGUERIA PASTEUR VARIANTE SANTA FE DE ANTIOQUIA	OCCIDENTE ANTIOQUIA - ZONA 1	https://maps.app.goo.gl/MnhYotVQhiqdLinc9
92	FARMACIA PASTEUR SAN ANTONIO DE PRADO	SAN ANTONIO DE PRADO	https://maps.app.goo.gl/1bbQm22RuQu16Xj58
214	MARKET PASTEUR SAN ANTONIO DE PRADO	SAN ANTONIO DE PRADO	https://maps.app.goo.gl/mjyqaqPju7zh3yUG8
380	DROGUERÍA  PASTEUR PRATTO	SAN ANTONIO DE PRADO	https://maps.app.goo.gl/3z4UkhrzAsQurmY88
390	DROGUERIA PASTEUR SANTA ELENA	SANTA ELENA - ZONA 1	https://maps.app.goo.gl/PmmCy73AHLg464fq8
399	DROGUERIA PASTEUR SONSON	SONSON - ZONA 1	https://maps.app.goo.gl/visjBbp9jimoVCwg8
354	DROGUERIA PASTEUR LA DESPENSA	SUR OESTE - CONEXION 1	https://maps.app.goo.gl/nuajatjjCbgqki7s9
